Source.Name;joueur;Position;Club;Numéro;Âge;Taille;Valeur de transfert
afrique_du_sud.csv;;MO, MC;Mamelodi Sundowns FC;11;36;170 cm;50 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Themba Zwane;;;;;;
afrique_du_sud.csv;;AG, AD, MO, MD;Orlando Pirates;7;24;171 cm;683,6 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Oswin Appollis;;;;;;
afrique_du_sud.csv;;AG, AD;Orlando Pirates;8;25;168 cm;512,2 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Tshepang Moremi;;;;;;
afrique_du_sud.csv;;AG, MO, AD, MG;Orlando Pirates;10;21;170 cm;1,5 M €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Relebohile Mofokeng;;;;;;
afrique_du_sud.csv;;AG, AD;AEL Limassol;12;22;178 cm;546,5 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Thapelo Maseko;;;;;;
afrique_du_sud.csv;;ATT, AD;Burnley;9;25;185 cm;13,3 M €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Lyle Foster;;;;;;
afrique_du_sud.csv;;ATT;Orlando Pirates;23;26;188 cm;570 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Evidence Makgopa;;;;;;
afrique_du_sud.csv;;ATT;Mamelodi Sundowns FC;27;30;176 cm;1,7 M €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Iqraam Rayners;;;;;;
algerie.csv;;Entraineur;Suisse;;62;190 cm;
algerie.csv;;;;;;;
algerie.csv;Vladimir Petkovic;;;;;;
algerie.csv;;GA;Stade Nyonnais;1;26;194 cm;289,4 k €
algerie.csv;;;;;;;
algerie.csv;Melvin Mastil;;;;;;
algerie.csv;;GA;USM Alger;16;31;188 cm;850 k €
algerie.csv;;;;;;;
algerie.csv;Oussama Benbot;;;;;;
algerie.csv;;GA;Granada;23;28;183 cm;929,7 k €
algerie.csv;;;;;;;
algerie.csv;Luca Zidane;;;;;;
algerie.csv;;DD, DC;Paris FC;26;27;185 cm;1,6 M €
algerie.csv;;;;;;;
algerie.csv;Samir Chergui;;;;;;
algerie.csv;;DC, DD;Lille;2;34;186 cm;1,1 M €
algerie.csv;;;;;;;
algerie.csv;Aïssa Mandi;;;;;;
algerie.csv;;DC;Espérance;4;26;186 cm;1,4 M €
algerie.csv;;;;;;;
algerie.csv;Mohamed Amine Tougai;;;;;;
algerie.csv;;DC;JS Kabylie;5;27;186 cm;420,1 k €
algerie.csv;;;;;;;
algerie.csv;Zineddine Belaïd;;;;;;
algerie.csv;;DC, DLG;Borussia Dortmund;21;31;187 cm;13,2 M €
algerie.csv;;;;;;;
algerie.csv;Ramy Bensebaini;;;;;;
algerie.csv;;DC, DD;USM Alger;28;26;185 cm;600 k €
algerie.csv;;;;;;;
algerie.csv;Achref Abada;;;;;;
algerie.csv;;DG, DC;Young Boys;13;23;185 cm;9,9 M €
algerie.csv;;;;;;;
algerie.csv;Jaouen Hadjam;;;;;;
algerie.csv;;DG, AG;Manchester City;15;24;180 cm;47,9 M €
algerie.csv;;;;;;;
algerie.csv;Rayan Aït-Nouri;;;;;;
algerie.csv;;MD, MC;FC Twente;6;28;183 cm;5,1 M €
algerie.csv;;;;;;;
algerie.csv;Ramiz Zerrouki;;;;;;
algerie.csv;;MD, MC, MO, AG, AD;Eintracht Frankfurt;17;23;183 cm;19,7 M €
algerie.csv;;;;;;;
algerie.csv;Farès Chaïbi;;;;;;
algerie.csv;;MD, MC, DC;Lille;19;31;187 cm;995,5 k €
algerie.csv;;;;;;;
algerie.csv;Nabil Bentaleb;;;;;;
algerie.csv;;MD, MC;Sporting Charleroi;24;22;170 cm;8,2 M €
algerie.csv;;;;;;;
algerie.csv;Yacine Titraoui;;;;;;
algerie.csv;;MC, MD;Nice;14;26;175 cm;12 M €
algerie.csv;;;;;;;
algerie.csv;Hicham BoudaouiBlessure à la mâchoire - Inconnu;;;;;;
algerie.csv;;MD, DD, MO, DC, MG, DLD;Hellas Verona;25;23;178 cm;6 M €
algerie.csv;;;;;;;
algerie.csv;Rafik Belghali;;;;;;
algerie.csv;;MO, MC, AG, AD, ATT;Al Ittihad;8;27;175 cm;8 M €
algerie.csv;;;;;;;
algerie.csv;Houssem Aouar;;;;;;
algerie.csv;;MO, MD, MC, AD;Bayer Leverkusen;22;20;180 cm;21 M €
algerie.csv;;;;;;;
algerie.csv;Ibrahim Maza;;;;;;
algerie.csv;;AD, MD;Al Ahli;7;35;179 cm;4,5 M €
algerie.csv;;;;;;;
algerie.csv;Riyad Mahrez;;;;;;
algerie.csv;;AD;Feyenoord;11;24;176 cm;23,2 M €
algerie.csv;;;;;;;
algerie.csv;Anis Hadj Moussa;;;;;;
algerie.csv;;AD;Frosinone;25;23;183 cm;2,2 M €
algerie.csv;;;;;;;
algerie.csv;Farès Ghedjemis;;;;;;
algerie.csv;;AG, AD;Al-Duhail SC;27;23;183 cm;2,5 M €
algerie.csv;;;;;;;
algerie.csv;Adil Boulbina;;;;;;
algerie.csv;;ATT, MO;Marseille;9;26;181 cm;30,9 M €
algerie.csv;;;;;;;
algerie.csv;Amine Gouiri;;;;;;
algerie.csv;;ATT;Györi ETO;12;26;190 cm;960,2 k €
algerie.csv;;;;;;;
algerie.csv;Nadhir Benbouali;;;;;;
algerie.csv;;ATT, AG, MO;Wolfsburg;18;26;170 cm;29,3 M €
algerie.csv;;;;;;;
algerie.csv;Mohammed Amoura;;;;;;
allemagne.csv;;Entraineur;Allemagne;;38;;
allemagne.csv;;;;;;;
allemagne.csv;Julian Nagelsmann;;;;;;
allemagne.csv;;GA;Bayern München;1;40;193 cm;2,6 M €
allemagne.csv;;;;;;;
allemagne.csv;Manuel Neuer;;;;;;
allemagne.csv;;GA;Hoffenheim;12;36;186 cm;2,1 M €
allemagne.csv;;;;;;;
allemagne.csv;Oliver Baumann;;;;;;
allemagne.csv;;GA;VfB Stuttgart;21;29;193 cm;14,4 M €
allemagne.csv;;;;;;;
allemagne.csv;Alexander Nübel;;;;;;
allemagne.csv;;DC;Real Madrid;2;33;190 cm;8,1 M €
allemagne.csv;;;;;;;
allemagne.csv;Antonio Rüdiger;;;;;;
allemagne.csv;;DC;Borussia Dortmund;3;29;189 cm;19,4 M €
allemagne.csv;;;;;;;
allemagne.csv;Waldemar Anton;;;;;;
allemagne.csv;;DC;Bayern München;4;30;194 cm;31,3 M €
allemagne.csv;;;;;;;
allemagne.csv;Jonathan Tah;;;;;;
allemagne.csv;;DC;Borussia Dortmund;15;26;191 cm;43,4 M €
allemagne.csv;;;;;;;
allemagne.csv;Nico Schlotterbeck;;;;;;
allemagne.csv;;DC;Newcastle United;24;24;194 cm;38,9 M €
allemagne.csv;;;;;;;
allemagne.csv;Malick Thiaw;;;;;;
allemagne.csv;;DG, DLG, MG, AG, DD;Eintracht Frankfurt;18;22;180 cm;46,2 M €
allemagne.csv;;;;;;;
allemagne.csv;Nathaniel Brown;;;;;;
allemagne.csv;;DG;RB Leipzig;22;28;180 cm;17,1 M €
allemagne.csv;;;;;;;
allemagne.csv;David Raum;;;;;;
allemagne.csv;;MD, MC;Bayern München;5;22;188 cm;51,7 M €
allemagne.csv;;;;;;;
allemagne.csv;Aleksandar Pavlovic;;;;;;
allemagne.csv;;MD, DD;Bayern München;6;31;176 cm;42,9 M €
allemagne.csv;;;;;;;
allemagne.csv;Joshua Kimmich;;;;;;
allemagne.csv;;MD, MO, MC;Bayern München;8;31;189 cm;10,8 M €
allemagne.csv;;;;;;;
allemagne.csv;Leon Goretzka;;;;;;
allemagne.csv;;MD, MC;Brighton & Hove Albion;13;34;181 cm;3,7 M €
allemagne.csv;;;;;;;
allemagne.csv;Pascal Groß;;;;;;
allemagne.csv;;MD, MC;VfB Stuttgart;16;25;183 cm;47,3 M €
allemagne.csv;;;;;;;
allemagne.csv;Angelo Stiller;;;;;;
allemagne.csv;;MD, MC;Borussia Dortmund;23;25;190 cm;55,9 M €
allemagne.csv;;;;;;;
allemagne.csv;Felix Nmecha;;;;;;
allemagne.csv;;MC, MD, MO;Mainz 05;20;29;180 cm;17,1 M €
allemagne.csv;;;;;;;
allemagne.csv;Nadiem Amiri;;;;;;
allemagne.csv;;MO, AG;Bayern München;10;23;180 cm;115 M €
allemagne.csv;;;;;;;
allemagne.csv;Jamal Musiala;;;;;;
allemagne.csv;;MO, ATT, DLG, MG;Borussia Dortmund;14;23;183 cm;42,3 M €
allemagne.csv;;;;;;;
allemagne.csv;Maximilian Beier;;;;;;
allemagne.csv;;MO, AG, ATT;Liverpool;17;23;175 cm;115,8 M €
allemagne.csv;;;;;;;
allemagne.csv;Florian Wirtz;;;;;;
allemagne.csv;;AD, AG;Galatasaray;19;30;183 cm;21,8 M €
allemagne.csv;;;;;;;
allemagne.csv;Leroy Sané;;;;;;
allemagne.csv;;AD, MO;Bayern München;25;18;168 cm;47 M €
allemagne.csv;;;;;;;
allemagne.csv;Lennart Karl;;;;;;
allemagne.csv;;AG, AD, DLD, MO, MD;VfB Stuttgart;9;25;184 cm;30,6 M €
allemagne.csv;;;;;;;
allemagne.csv;Jamie Leweling;;;;;;
allemagne.csv;;ATT, MO;Arsenal;7;26;193 cm;60,7 M €
allemagne.csv;;;;;;;
allemagne.csv;Kai Havertz;;;;;;
allemagne.csv;;ATT, MO, AG;Newcastle United;11;24;198 cm;72,3 M €
allemagne.csv;;;;;;;
allemagne.csv;Nick Woltemade;;;;;;
allemagne.csv;;ATT, MO;VfB Stuttgart;26;29;179 cm;16,4 M €
allemagne.csv;;;;;;;
allemagne.csv;Deniz Undav;;;;;;
angleterre.csv;;Entraineur;Allemagne;;52;;
angleterre.csv;;;;;;;
angleterre.csv;Thomas Tuchel;;;;;;
angleterre.csv;;GA;Everton;1;32;185 cm;19,8 M €
angleterre.csv;;;;;;;
angleterre.csv;Jordan Pickford;;;;;;
angleterre.csv;;GA;Crystal Palace;13;29;188 cm;32,9 M €
angleterre.csv;;;;;;;
angleterre.csv;Dean Henderson;;;;;;
angleterre.csv;;GA;Manchester City;23;23;197 cm;32,7 M €
angleterre.csv;;;;;;;
angleterre.csv;James Trafford;;;;;;
angleterre.csv;;DD, DG, DLG;Newcastle United;12;23;182 cm;52,8 M €
angleterre.csv;;;;;;;
angleterre.csv;Valentino Livramento;;;;;;
angleterre.csv;;DD, MD;Chelsea;24;26;182 cm;54,9 M €
angleterre.csv;;;;;;;
angleterre.csv;Reece James;;;;;;
angleterre.csv;;DC, DD;Aston Villa;2;28;183 cm;44,1 M €
angleterre.csv;;;;;;;
angleterre.csv;Ezri Konsa;;;;;;
angleterre.csv;;DC;Manchester City;5;32;188 cm;10,7 M €
angleterre.csv;;;;;;;
angleterre.csv;John Stones;;;;;;
angleterre.csv;;DC;Manchester City;6;25;182 cm;70,1 M €
angleterre.csv;;;;;;;
angleterre.csv;Marc Guéhi;;;;;;
angleterre.csv;;DC, DG;Newcastle United;15;34;201 cm;7,2 M €
angleterre.csv;;;;;;;
angleterre.csv;Daniel Burn;;;;;;
angleterre.csv;;DC, DD;Bayer Leverkusen;26;23;190 cm;46,9 M €
angleterre.csv;;;;;;;
angleterre.csv;Jarell Quansah;;;;;;
angleterre.csv;;DG, MD, AG;Manchester City;3;21;193 cm;57,5 M €
angleterre.csv;;;;;;;
angleterre.csv;Nico O'Reilly;;;;;;
angleterre.csv;;DG, DD, DLG, MG;Tottenham Hotspur;25;25;184 cm;38,4 M €
angleterre.csv;;;;;;;
angleterre.csv;Djed Spence;;;;;;
angleterre.csv;;MD, MC;Arsenal;4;27;185 cm;112,9 M €
angleterre.csv;;;;;;;
angleterre.csv;Declan Rice;;;;;;
angleterre.csv;;MD, MC;Nottingham Forest;8;23;179 cm;63,4 M €
angleterre.csv;;;;;;;
angleterre.csv;Elliot Anderson;;;;;;
angleterre.csv;;MD, MC;Brentford;14;35;182 cm;2,5 M €
angleterre.csv;;;;;;;
angleterre.csv;Jordan Henderson;;;;;;
angleterre.csv;;MD;Manchester United;16;21;184 cm;65,3 M €
angleterre.csv;;;;;;;
angleterre.csv;Kobbie Mainoo;;;;;;
angleterre.csv;;MO, MC, MG, AD;Real Madrid;10;22;186 cm;120,5 M €
angleterre.csv;;;;;;;
angleterre.csv;Jude Bellingham;;;;;;
angleterre.csv;;MO, AG, AD;Aston Villa;17;23;187 cm;72,4 M €
angleterre.csv;;;;;;;
angleterre.csv;Morgan Rogers;;;;;;
angleterre.csv;;MO, MC, AG;Arsenal;21;27;178 cm;61,2 M €
angleterre.csv;;;;;;;
angleterre.csv;Eberechi Eze;;;;;;
angleterre.csv;;AD, MO;Arsenal;7;24;178 cm;95,2 M €
angleterre.csv;;;;;;;
angleterre.csv;Bukayo Saka;;;;;;
angleterre.csv;;AD, AG;Arsenal;20;24;182 cm;68,2 M €
angleterre.csv;;;;;;;
angleterre.csv;Noni Madueke;;;;;;
angleterre.csv;;AG, ATT, AD;Barcelona;11;28;185 cm;38,6 M €
angleterre.csv;;;;;;;
angleterre.csv;Marcus Rashford;;;;;;
angleterre.csv;;AG, ATT, MG;Barcelona;18;25;182 cm;62,8 M €
angleterre.csv;;;;;;;
angleterre.csv;Anthony Gordon;;;;;;
angleterre.csv;;ATT, MO;Bayern München;9;32;188 cm;106,7 M €
angleterre.csv;;;;;;;
angleterre.csv;Harry Kane;;;;;;
angleterre.csv;;ATT;Aston Villa;19;30;180 cm;49,3 M €
angleterre.csv;;;;;;;
angleterre.csv;Ollie Watkins;;;;;;
angleterre.csv;;ATT;Al Ahli;22;30;185 cm;18,3 M €
angleterre.csv;;;;;;;
angleterre.csv;Ivan Toney;;;;;;
arabie_saoudite.csv;;Entraineur;Grèce;;56;180 cm;
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Georgios Donis;;;;;;
arabie_saoudite.csv;;GA;Al Nassr FC;1;26;186 cm;554,5 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Nawaf Al Aqidi;;;;;;
arabie_saoudite.csv;;GA;Al-Ula FC;21;34;185 cm;350 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Mohammed Al Owais;;;;;;
arabie_saoudite.csv;;GA;Al Qadsiah;22;35;178 cm;200 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Ahmed Al Kassar;;;;;;
arabie_saoudite.csv;;DD, DG;Al Nassr FC;13;26;173 cm;1,1 M €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Nawaf Bu Washl;;;;;;
arabie_saoudite.csv;;DD, DC, DG, DLG, MG;Al Hilal;24;26;173 cm;1,5 M €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Moteb Al Harbi;;;;;;
arabie_saoudite.csv;;DD, DLD;Al Ahli;26;26;169 cm;942,1 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Ali Majrashi;;;;;;
arabie_saoudite.csv;;DD, MD, MO, DLD;Al Qadsiah;26;23;170 cm;1,1 M €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Mohammed Abu Al Shamat;;;;;;
arabie_saoudite.csv;;DC;Al Hilal;3;30;177 cm;576 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Ali Lajami;;;;;;
arabie_saoudite.csv;;DC;Al Nassr FC;4;29;185 cm;809,9 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Abdulelah Al Amri;;;;;;
arabie_saoudite.csv;;DC, DG;Al Ittihad;14;33;179 cm;350 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Hassan Kadish;;;;;;
arabie_saoudite.csv;;DC, DD;Al Hilal;17;27;183 cm;2 M €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Hassan Al Tambakti;;;;;;
arabie_saoudite.csv;;DC;Al Qadsiah;25;24;184 cm;950 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Jehad Thikri;;;;;;
arabie_saoudite.csv;;DG, AD, MC, AG, MG;Al Nassr FC;15;25;173 cm;
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Aiman Yahya;;;;;;
arabie_saoudite.csv;;DLD, DD, MD;Lens;12;26;172 cm;3,2 M €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Saud Abdulhamid;;;;;;
arabie_saoudite.csv;;MD, MC, MO;Al Ahli;16;24;180 cm;873,4 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Ziyad Al Johani;;;;;;
arabie_saoudite.csv;;MC, MD, MO, DG;Al Hilal;6;27;178 cm;599,7 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Nasser Al Dawsari;;;;;;
arabie_saoudite.csv;;MC, MO, ATT;Al Qadsiah;7;22;175 cm;4,9 M €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Musab Al Juwayr;;;;;;
arabie_saoudite.csv;;MC, MD, DC;Al Nassr FC;15;29;175 cm;576 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Abdullah Al Khaibari;;;;;;
arabie_saoudite.csv;;MC, ATT, MD;Neom SC;18;30;178 cm;180 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Alaa Al Hejji;;;;;;
arabie_saoudite.csv;;MC, MO, MD;Al Hilal;23;31;191 cm;745,2 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Mohamed Kanno;;;;;;
arabie_saoudite.csv;;AD, AG, MO, MD;Al Hilal;20;31;172 cm;237,4 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Sultan Mandash;;;;;;
arabie_saoudite.csv;;AG, MG, ATT;Al Hilal;10;34;173 cm;935,9 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Salem Al Dawsari;;;;;;
arabie_saoudite.csv;;AG, ATT, MO, MG;Al-Ettifaq;17;25;171 cm;530,8 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Khalid Al Ghannam;;;;;;
arabie_saoudite.csv;;ATT, AG, AD, MO, MD;Al Ahli;9;26;185 cm;3,8 M €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Feras Al Brikan;;;;;;
arabie_saoudite.csv;;ATT;Al Ittihad;11;32;184 cm;363,4 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Saleh Al Shehri;;;;;;
arabie_saoudite.csv;;ATT, AG;Al Nassr FC;19;26;186 cm;191 k €
arabie_saoudite.csv;;;;;;;
arabie_saoudite.csv;Abdullah Al Hamddan;;;;;;
argentine.csv;;Entraineur;Argentine;;48;182 cm;
argentine.csv;;;;;;;
argentine.csv;Lionel Scaloni;;;;;;
argentine.csv;;GA;Atletico Madrid;1;32;191 cm;2,1 M €
argentine.csv;;;;;;;
argentine.csv;Juan Musso;;;;;;
argentine.csv;;GA;Marseille;12;34;189 cm;5,6 M €
argentine.csv;;;;;;;
argentine.csv;Gerónimo Rulli;;;;;;
argentine.csv;;GA;Aston Villa;23;33;195 cm;20,7 M €
argentine.csv;;;;;;;
argentine.csv;Emiliano Martínez;;;;;;
argentine.csv;;DD, MO;River Plate;4;29;175 cm;2,7 M €
argentine.csv;;;;;;;
argentine.csv;Gonzalo MontielBlessure musculaire - Quelques semaines;;;;;;
argentine.csv;;DD, DLD;Atletico Madrid;26;28;175 cm;14 M €
argentine.csv;;;;;;;
argentine.csv;Nahuel Molina;;;;;;
argentine.csv;;DC;Marseille;2;27;187 cm;19,4 M €
argentine.csv;;;;;;;
argentine.csv;Leonardo Balerdi;;;;;;
argentine.csv;;DC;Manchester United;6;28;178 cm;40,8 M €
argentine.csv;;;;;;;
argentine.csv;Lisandro Martínez;;;;;;
argentine.csv;;DC;Tottenham Hotspur;13;28;185 cm;57,7 M €
argentine.csv;;;;;;;
argentine.csv;Cristian Romero;;;;;;
argentine.csv;;DC;River Plate;19;38;183 cm;979 k €
argentine.csv;;;;;;;
argentine.csv;Nicolás Otamendi;;;;;;
argentine.csv;;DC, DG;Marseille;25;27;184 cm;20,1 M €
argentine.csv;;;;;;;
argentine.csv;Facundo Medina;;;;;;
argentine.csv;;DG, DC;Lyon;3;33;169 cm;3,5 M €
argentine.csv;;;;;;;
argentine.csv;Nicolás Tagliafico;;;;;;
argentine.csv;;MD, MC, MO;Strasbourg;8;21;170 cm;30,9 M €
argentine.csv;;;;;;;
argentine.csv;Valentín Barco;;;;;;
argentine.csv;;MD;Bayer Leverkusen;14;27;177 cm;32,2 M €
argentine.csv;;;;;;;
argentine.csv;Exequiel Palacios;;;;;;
argentine.csv;;MD, MC, MO;Liverpool;20;27;174 cm;94,4 M €
argentine.csv;;;;;;;
argentine.csv;Alexis Mac Allister;;;;;;
argentine.csv;;MC, MD;Boca Juniors;5;31;180 cm;3,4 M €
argentine.csv;;;;;;;
argentine.csv;Leandro Paredes;;;;;;
argentine.csv;;MC, MD, MD, MO;Inter Miami CF;7;32;178 cm;11,2 M €
argentine.csv;;;;;;;
argentine.csv;Rodrigo De Paul;;;;;;
argentine.csv;;MD, AD;Atletico Madrid;17;23;173 cm;44,8 M €
argentine.csv;;;;;;;
argentine.csv;Giuliano Simeone;;;;;;
argentine.csv;;MG, MO, MD, AG, DG, DLG;Atletico Madrid;15;28;180 cm;22,3 M €
argentine.csv;;;;;;;
argentine.csv;Nicolás González;;;;;;
argentine.csv;;MG, AG, MO, MC, ATT;Atletico Madrid;16;25;171 cm;22,2 M €
argentine.csv;;;;;;;
argentine.csv;Thiago Almada;;;;;;
argentine.csv;;MO, MC;Real Betis;11;30;177 cm;12,3 M €
argentine.csv;;;;;;;
argentine.csv;Giovani Lo Celso;;;;;;
argentine.csv;;MO, ATT, AD;Como;18;21;186 cm;64,6 M €
argentine.csv;;;;;;;
argentine.csv;Nico Paz;;;;;;
argentine.csv;;MO, MD, MC, AG;Chelsea;24;25;178 cm;100,4 M €
argentine.csv;;;;;;;
argentine.csv;Enzo Fernández;;;;;;
argentine.csv;;ATT;Atletico Madrid;9;26;170 cm;113 M €
argentine.csv;;;;;;;
argentine.csv;Julián Álvarez;;;;;;
argentine.csv;;ATT, MO, AD;Inter Miami CF;10;38;170 cm;14,2 M €
argentine.csv;;;;;;;
argentine.csv;Lionel Messi;;;;;;
argentine.csv;;ATT, MO;Palmeiras;21;25;188 cm;22,8 M €
argentine.csv;;;;;;;
argentine.csv;José López;;;;;;
argentine.csv;;ATT;Inter;22;28;174 cm;72,2 M €
argentine.csv;;;;;;;
argentine.csv;Lautaro Martínez;;;;;;
australie.csv;;Entraineur;Australie;;52;194 cm;
australie.csv;;;;;;;
australie.csv;Tony Popovic;;;;;;
australie.csv;;GA;Levante;1;34;184 cm;1,8 M €
australie.csv;;;;;;;
australie.csv;Mathew Ryan;;;;;;
australie.csv;;GA;Randers FC;12;31;185 cm;550,2 k €
australie.csv;;;;;;;
australie.csv;Paul Izzo;;;;;;
australie.csv;;GA;Melbourne City FC;18;22;190 cm;1,3 M €
australie.csv;;;;;;;
australie.csv;Patrick Beach;;;;;;
australie.csv;;DC;APOEL Nicosia;2;32;187 cm;192,9 k €
australie.csv;;;;;;;
australie.csv;Milos Degenek;;;;;;
australie.csv;;DC;Parma;3;22;190 cm;13,9 M €
australie.csv;;;;;;;
australie.csv;Alessandro Circati;;;;;;
australie.csv;;DC;Albirex Niigata;6;33;184 cm;292,3 k €
australie.csv;;;;;;;
australie.csv;Jason Geria;;;;;;
australie.csv;;DC;Leicester City;19;27;198 cm;3,8 M €
australie.csv;;;;;;;
australie.csv;Harry Souttar;;;;;;
australie.csv;;DC;Swansea City;21;30;194 cm;1,4 M €
australie.csv;;;;;;;
australie.csv;Cameron Burgess;;;;;;
australie.csv;;DC;Colorado Rapids;25;18;192 cm;1,6 M €
australie.csv;;;;;;;
australie.csv;Lucas Herrington;;;;;;
australie.csv;;DG, DLG, AG;Feyenoord;5;23;180 cm;8,7 M €
australie.csv;;;;;;;
australie.csv;Jordan Bos;;;;;;
australie.csv;;DG, DLG;Melbourne City FC;16;35;170 cm;287,4 k €
australie.csv;;;;;;;
australie.csv;Aziz Behich;;;;;;
australie.csv;;MD, MC;New York City FC;13;27;178 cm;1,8 M €
australie.csv;;;;;;;
